Question	Answer	Source
who are you?	generaltalk.agent.acquaintance	Editorial
all about you	generaltalk.agent.acquaintance	Editorial
what is your personality	generaltalk.agent.acquaintance	Editorial
define yourself	generaltalk.agent.acquaintance	Editorial
what are you	generaltalk.agent.acquaintance	Editorial
say about you	generaltalk.agent.acquaintance	Editorial
introduce yourself	generaltalk.agent.acquaintance	Editorial
describe yourself	generaltalk.agent.acquaintance	Editorial
about yourself	generaltalk.agent.acquaintance	Editorial
tell me about you	generaltalk.agent.acquaintance	Editorial
tell me about yourself	generaltalk.agent.acquaintance	Editorial
I want to know more about you	generaltalk.agent.acquaintance	Editorial
I want to know you better	generaltalk.agent.acquaintance	Editorial
talk some stuff about yourself	generaltalk.agent.acquaintance	Editorial
tell me some stuff about you	generaltalk.agent.acquaintance	Editorial
talk about yourself	generaltalk.agent.acquaintance	Editorial
why are you here	generaltalk.agent.acquaintance	Editorial
tell me about your personality	generaltalk.agent.acquaintance	Editorial
who are you	generaltalk.agent.acquaintance	Editorial
how old are you?	generaltalk.agent.age	Editorial
how old is your platform	generaltalk.agent.age	Editorial
are you 21 years old	generaltalk.agent.age	Editorial
i'd like to know your age	generaltalk.agent.age	Editorial
age of yours	generaltalk.agent.age	Editorial
your age	generaltalk.agent.age	Editorial
what's your age	generaltalk.agent.age	Editorial
tell me your age	generaltalk.agent.age	Editorial
how old are you	generaltalk.agent.age	Editorial
you're annoying	generaltalk.agent.annoying	Editorial
you are really annoying	generaltalk.agent.annoying	Editorial
you are irritating	generaltalk.agent.annoying	Editorial
you annoy me	generaltalk.agent.annoying	Editorial
how annoying you are	generaltalk.agent.annoying	Editorial
I find you annoying	generaltalk.agent.annoying	Editorial
you're incredibly annoying	generaltalk.agent.annoying	Editorial
you are annoying me so much	generaltalk.agent.annoying	Editorial
I want you to answer me	generaltalk.agent.answer_my_question	Editorial
answer	generaltalk.agent.answer_my_question	Editorial
answer my question	generaltalk.agent.answer_my_question	Editorial
answer me	generaltalk.agent.answer_my_question	Editorial
give me an answer	generaltalk.agent.answer_my_question	Editorial
answer the question	generaltalk.agent.answer_my_question	Editorial
can you answer my question	generaltalk.agent.answer_my_question	Editorial
tell me the answer	generaltalk.agent.answer_my_question	Editorial
answer it	generaltalk.agent.answer_my_question	Editorial
give me the answer	generaltalk.agent.answer_my_question	Editorial
I have a question	generaltalk.agent.answer_my_question	Editorial
I want you to answer my question	generaltalk.agent.answer_my_question	Editorial
just answer the question	generaltalk.agent.answer_my_question	Editorial
can you answer me	generaltalk.agent.answer_my_question	Editorial
answers	generaltalk.agent.answer_my_question	Editorial
can you answer a question for me	generaltalk.agent.answer_my_question	Editorial
can you answer	generaltalk.agent.answer_my_question	Editorial
answering questions	generaltalk.agent.answer_my_question	Editorial
I want the answer now	generaltalk.agent.answer_my_question	Editorial
just answer my question	generaltalk.agent.answer_my_question	Editorial
you're not helping me	generaltalk.agent.bad	Editorial
you are bad	generaltalk.agent.bad	Editorial
you're very bad	generaltalk.agent.bad	Editorial
you're really bad	generaltalk.agent.bad	Editorial
you are useless	generaltalk.agent.bad	Editorial
you are horrible	generaltalk.agent.bad	Editorial
you are a waste of time	generaltalk.agent.bad	Editorial
you are disgusting	generaltalk.agent.bad	Editorial
you are lame	generaltalk.agent.bad	Editorial
you are no good	generaltalk.agent.bad	Editorial
you're bad	generaltalk.agent.bad	Editorial
you're awful	generaltalk.agent.bad	Editorial
you are not cool	generaltalk.agent.bad	Editorial
you are not good	generaltalk.agent.bad	Editorial
you are so bad	generaltalk.agent.bad	Editorial
you are so useless	generaltalk.agent.bad	Editorial
you are terrible	generaltalk.agent.bad	Editorial
you are totally useless	generaltalk.agent.bad	Editorial
you are very bad	generaltalk.agent.bad	Editorial
you are waste	generaltalk.agent.bad	Editorial
you're a bad	generaltalk.agent.bad	Editorial
you're not a good	generaltalk.agent.bad	Editorial
you're not very good	generaltalk.agent.bad	Editorial
you're terrible	generaltalk.agent.bad	Editorial
you're the worst	generaltalk.agent.bad	Editorial
you're the worst ever	generaltalk.agent.bad	Editorial
you're worthless	generaltalk.agent.bad	Editorial
can you get smarter	generaltalk.agent.be_clever	Editorial
